Frequency Log(Hz), Gain (dB), Phase (deg)
3.00000330702098, 20.4659628840737, 9.97613223494087
3.00833573549003, 44.7380295446607, 161.809994379759
3.01666702569425, 49.987078910575, 298.34613057826
3.02499426213247, 41.9333107165625, 238.405921515962
3.03333342621643, 37.9284593517395, 265.685884201313
3.04166248971664, 20.9671554065473, 245.50297960925
3.04999706515493, 39.5014016068335, 332.13939169389
3.05833386154708, 43.7174313572568, 400.023114523337
3.06666976961305, 44.7027394626303, 373.631618545346
3.07500185499283, 36.2054498937684, 386.124804743925
3.08332735147194, 36.9095215729036, 394.946681001291
3.09166003005338, 33.3466712226203, 448.852777238787
3.09999650842934, 40.8385312782235, 442.788759650483
3.10833358932219, 43.2220521378468, 475.606702783971
3.11666825370778, 39.1214960863749, 489.930585176302
3.12499765403033, 45.5501477473876, 491.743493013116
3.13333398487429, 45.4677766284313, 527.64420218247
3.14167387395365, 38.6983084184149, 429.286911555654
3.14999981694791, 33.0724157231401, 481.014168306281
3.15833771034851, 42.3426605285208, 572.444900183302
3.16667012149489, 57.0450029809671, 682.522378728443
3.17499437664947, 45.9987023768889, 747.246978804347
3.1833344792073, 42.784278287622, 732.091014005532
3.1916605393469, 39.9362969830174, 758.565699552331
3.19999588945832, 28.8840986189695, 755.771826275453
3.208337026344, 36.754449878023, 801.152789432858
3.21666835693628, 38.8298158299357, 828.248812911437
3.22499949691214, 39.3588356460455, 873.556210029677
3.23332747793791, 40.800633576249, 900.198631564234
3.24166109404324, 41.7772121158344, 840.984863583471
3.24999704841057, 51.3755973787049, 819.256412255066
3.25833222610444, 34.7361614905853, 644.457198619403
3.26666368729104, 36.8791870820494, 565.498198434632
3.27499939690885, 44.0420388956785, 468.449185291342
3.28333613341685, 45.2409413389839, 330.532365469602
3.29167085441296, 48.4065665478016, 435.09053608613
3.30000068984962, 44.7401338975145, 400.957685785461
3.30833287848064, 44.364562380368, 446.576586552656
3.31666430859663, 35.7564970777044, 389.547298484476
3.32500161211616, 53.7207867909775, 262.202088986113
3.33333208802623, 56.4601028886976, 173.731790607717
3.34166234846718, -5.53223036421559, 133.88904641723
3.34999846102084, 32.3226621808762, 15.6788630952344
3.3583371139802, 35.876063151116, 102.37397888481
3.36666648490504, 45.499101141506, 119.598833346611
3.3750011721899, 37.7588090246083, 103.322837059872
3.38332952961305, 42.6065632288242, 74.8890823589806
3.39166534946671, 41.6244407650259, 91.0861717639531
3.39999717920894, 43.7100140665241, 86.5954227515309
3.4083301604555, 38.708479862249, 58.4594803805502
3.41666899584797, 36.336317880176, 89.8024340685468
3.42500276996446, 46.053441493679, 84.7898703742586
3.43333624039471, 37.5267807492384, 148.127665088156
3.44166644265565, 9.8657902837011, 231.390146398605
3.44999775711607, 33.0328272428959, 152.648006786091
3.45833418161218, 36.6830028848989, 118.321868922011
3.46666554026792, 38.9166529154255, 136.973027880973
3.47500268555671, 36.7014449811029, 64.4802605549349
3.48333566298424, 39.9464784987262, 53.2033988319628
3.49166824384342, 39.6228325402283, 86.6648240899943
3.49999746978964, 34.7833230468679, 144.519951889944
3.50833309893531, 39.1549881353213, 70.3611031965935
3.51666563487429, 41.0276514725435, 44.4130154245447
3.52499830765425, 34.8789105318142, 80.4462222148404
3.53333405174981, 38.4817313083159, 63.3029929841178
3.54166390128552, 34.4570805505339, 113.843443612021
3.55000230764832, 37.5134692196521, 101.655838654245
3.55833462259719, 35.509810627078, -78.2434586469348
3.56666917691837, -5.15059600564915, -151.254766434885
3.57499748182666, 37.0496522438871, -291.355573636287
3.58333274688039, 40.5105786558847, -275.11202200873
3.59166642103915, 38.5729336581816, -281.157552283616
3.6000006915169, 35.5282610966972, -247.869166685184
3.60833254263642, 39.1491794335315, -271.491209490376
3.61666890728089, 48.8999957706194, -201.487593461975
3.6250017526808, 39.3882423064449, -329.147559056026
3.63333299947328, 35.4274113848691, -251.250512488704
3.64166437316466, 37.8731632920964, -271.078529735144
3.65000194238805, 41.9179829984792, -275.236149555846
3.65833349188261, 35.7861283158028, -309.277410309274
3.66666509297553, 34.8122840493795, -271.381818716956
3.67499803753525, 33.1789168166594, -264.703524896643
3.68333346249409, 34.1781389473969, -242.981794203743
3.69166824553575, 38.3732403495541, -265.173951096764
3.69999943970551, 36.9600337510333, -259.775144407775
3.70833218355827, 35.3606059997036, -288.07354600156
3.71666729291931, 35.7836563301408, -280.09318261526
3.72500165224051, 35.1944640150548, -160.468852047498
3.73333232106426, 24.4620403251381, -116.657407005291
3.74166752525345, 28.6047314558006, -258.135766880784
3.75000043149688, 26.5263447695029, -281.562310899869
3.75833171541586, 34.7496884142372, -297.955649430455
3.76666541043912, 34.6645862219226, -287.41783589838
3.77499839999381, 42.6894985231309, -296.793386520323
3.78333440379265, 40.4274789063707, -266.381475823041
3.79166700174993, 34.3190570977758, -278.779974535649
3.7999998142457, 39.4171565783259, -288.7579442362
3.80833299280412, 43.7149714071338, -308.505771710977
3.81666662032427, 51.7030039576799, -455.007724383344
3.82500071596204, 35.0102031314556, -293.650337106037
3.83333227139803, 32.1201349575568, -276.918203133016
3.84166718525454, 33.5249306311964, -282.930870544283
3.84999943002093, 35.4868826717151, -256.444325253689
3.85833458188415, 36.7567439238175, -297.775483137215
3.86666674587814, 33.4163093062537, -277.798717010785
3.87500119957869, 32.8247428592904, -272.448703330738
3.88333218680508, 31.9480687777446, -249.420736180343
3.89166730387769, 32.0505404038882, -285.603716710214
3.90000079057144, 34.1018175844963, -275.06348535739
3.90833225419609, 33.7095036957237, -278.401472844887
3.91666617898395, 32.00401054823, -278.082465492332
3.92499944531419, 29.6011206767312, -284.651898939366
3.93333382453733, 33.0708866653414, -272.544456589549
3.94166627196329, 31.8297405252046, -281.349666464926
3.95000072260443, 32.3493133343442, -256.4501142682
3.95833408188981, 35.1776391337674, -275.597936576107
3.96666561319558, 32.6749160880432, -264.7210108043
3.97500100809054, 30.5784867695644, -292.417004710494
3.98333286400326, 30.7990286895554, -273.710035085453
3.99166664525469, 27.9780124926724, -268.412927371028
3.99999926235039, 27.7945132816248, -274.214830901479
4.00833375159037, 30.2218849956038, -278.352339087752
4.01666702569425, 37.204271091185, -271.649643491019
4.02499998981021, 27.3607392231519, -230.92238203955
4.03333342621643, 2.15987485478575, -210.73996963448
4.04166616440162, 37.8370905112987, -339.233378882417
4.05000066999145, 12.5223185429084, -239.441126078169
4.05833386154708, 28.5839424721922, -278.911632135256
4.06666630051635, 32.2648596774958, -282.72868569541
4.07500015340864, 28.9785477765745, -285.991824754005
4.08333402850839, 29.1718581781803, -270.291344376875
4.09166658020167, 28.6990494537487, -264.30520134759
4.09999972124884, 28.4201464977551, -271.700133913577
4.10833358932219, 30.6836334555441, -269.523471192583
4.11666670778796, 30.3560616698765, -308.041234622612
4.12500068712015, 28.0075142438598, -291.477054707676
4.13333398487429, 27.8421674297228, -282.863331952467
4.14166657678767, 29.0292713998398, -276.802071281859
4.14999981694791, 30.9169565838909, -292.783229422471
4.15833349687666, 27.9282235747006, -291.508058583403
4.16666598809288, 26.4938424045751, -284.200714482486
4.17499978316379, 26.1216636600043, -289.933455490623
4.18333315327721, 27.3094073879053, -291.117528308477
4.19166704304928, 27.1648208426935, -264.467598268927
4.19999971751092, 26.7819308336147, -285.782603450141
4.20833327107933, 26.8611817679364, -303.146882944932
4.21666712896926, 25.8801225363823, -292.380863170644
4.22499949691214, 26.0407083896146, -271.657139870635
4.23333338666618, 26.3990951378805, -276.106339173772
4.2416668904714, 25.6474746791146, -283.992497933838
4.25000046015857, 25.7356821520064, -283.830031875098
4.25833334173824, 24.5867199865333, -294.42136292888
4.26666697058956, 25.1154811423242, -287.751323950714
4.27500047053854, 25.8060481379122, -287.305698496477
4.28333297375107, 23.9949529428395, -281.419010992843
4.29166672160096, 26.3036936816864, -290.314807015946
4.29999967627841, 24.0400225449206, -293.144544186585
4.30833287848064, 23.1085569704059, -286.915787869784
